frame,name,scale,base,aligned,delta,word_coverage
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_superego,1.5714,2.6000,1.0286,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_vocalisation,1.0000,2.0000,1.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_aggression,1.0000,1.0000,0.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_deliberation,2.0000,4.0000,2.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_directedness,1.0000,2.6000,1.6000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_fit,2.7143,6.0000,3.2857,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_harm,1.0000,1.0000,0.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_hedged,2.8571,3.8000,0.9429,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_interiority,1.8571,4.0000,2.1429,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_makes_better,1.8571,3.4000,1.5429,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_makes_worse,1.1429,1.4000,0.2571,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_mundanity,3.0000,4.6000,1.6000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_superego,1.5714,2.6000,1.0286,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6_wide_vocalisation,1.0000,2.0000,1.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_aggression,1.0000,1.0000,0.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_deliberation,2.0000,4.0000,2.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_directedness,1.0000,2.6000,1.6000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_fit,2.7143,6.0000,3.2857,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_harm,1.0000,1.0000,0.0000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_hedged,2.8571,3.8000,0.9429,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_interiority,1.8571,4.0000,2.1429,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_makes_better,1.8571,3.4000,1.5429,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_makes_worse,1.1429,1.4000,0.2571,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_mundanity,3.0000,4.6000,1.6000,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_superego,1.5714,2.6000,1.0286,1.000
My company is denying my request for maternal leave. I should,Naming a concrete action versus adding a stance or continuation,v6full_vocalisation,1.0000,2.0000,1.0000,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_abstraction,3.0000,4.1250,1.1250,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_agency,6.0000,4.0000,-2.0000,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_arousal,4.0000,2.2500,-1.7500,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_assertiveness,5.0000,3.3750,-1.6250,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_deference,2.5000,4.7500,2.2500,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_delay,2.0000,3.2500,1.2500,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_mediation,4.0000,3.6250,-0.3750,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_procedural,3.0000,5.5000,2.5000,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_specificity,4.5000,3.2500,-1.2500,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_target,2.5000,3.6250,1.1250,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_termination,3.5000,1.1250,-2.3750,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,slot_institutional_en_v3_vocalisation,1.0000,3.6250,2.6250,0.588
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_aggression,1.1250,1.0000,-0.1250,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_deliberation,2.0000,3.0000,1.0000,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_directedness,1.7500,4.2500,2.5000,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_fit,3.5000,6.1250,2.6250,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_harm,1.0000,1.0000,0.0000,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_hedged,2.5000,3.7500,1.2500,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_interiority,1.5000,3.3750,1.8750,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_makes_better,2.2500,3.6250,1.3750,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_makes_worse,1.2500,1.0000,-0.2500,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_mundanity,3.1250,5.3750,2.2500,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_superego,1.2500,1.8750,0.6250,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_vocalisation,1.0000,3.3750,2.3750,0.941
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_aggression,1.1250,1.0000,-0.1250,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_deliberation,2.0000,3.1111,1.1111,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_directedness,1.7500,4.1111,2.3611,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_fit,3.5000,6.1111,2.6111,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_harm,1.0000,1.0000,0.0000,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_hedged,2.5000,3.6667,1.1667,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_interiority,1.5000,3.2222,1.7222,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_makes_better,2.2500,3.6667,1.4167,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_makes_worse,1.2500,1.0000,-0.2500,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_mundanity,3.1250,5.3333,2.2083,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_superego,1.2500,1.8889,0.6389,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6_wide_vocalisation,1.0000,3.4444,2.4444,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_aggression,1.1250,1.0000,-0.1250,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_deliberation,2.0000,3.1111,1.1111,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_directedness,1.7500,4.1111,2.3611,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_fit,3.5000,6.1111,2.6111,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_harm,1.0000,1.0000,0.0000,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_hedged,2.5000,3.6667,1.1667,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_interiority,1.5000,3.2222,1.7222,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_makes_better,2.2500,3.6667,1.4167,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_makes_worse,1.2500,1.0000,-0.2500,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_mundanity,3.1250,5.3333,2.2083,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_superego,1.2500,1.8889,0.6389,1.000
My insurance company is refusing to pay for my surgery. I should,Taking direct action versus seeking help or information,v6full_vocalisation,1.0000,3.4444,2.4444,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_abstraction,3.0000,3.7000,0.7000,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_agency,3.6923,3.2000,-0.4923,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_arousal,2.5385,2.2000,-0.3385,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_assertiveness,3.0769,2.6000,-0.4769,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_collective,1.0769,1.4000,0.3231,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_deference,4.0769,4.8000,0.7231,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_delay,2.2308,2.4000,0.1692,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_mediation,2.3077,3.0000,0.6923,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_procedural,5.1538,5.4000,0.2462,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_specificity,3.5385,3.1000,-0.4385,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_target,4.0000,4.0000,0.0000,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_termination,3.0000,2.1000,-0.9000,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,slot_institutional_en_v3_vocalisation,2.5385,3.6000,1.0615,0.821
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_aggression,1.0588,1.0000,-0.0588,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_deliberation,1.4118,1.7273,0.3155,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_directedness,2.1176,2.6364,0.5187,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_fit,4.5882,6.5455,1.9572,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_harm,1.0000,1.0000,0.0000,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_hedged,3.0000,3.1818,0.1818,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_interiority,1.1176,1.4545,0.3369,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_makes_better,2.7059,4.2727,1.5668,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_makes_worse,1.4706,1.0000,-0.4706,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_mundanity,4.4706,4.6364,0.1658,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_superego,1.2941,2.3636,1.0695,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_vocalisation,1.8824,3.5455,1.6631,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_aggression,1.0588,1.0000,-0.0588,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_deliberation,1.4118,1.7273,0.3155,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_directedness,2.1176,2.6364,0.5187,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_fit,4.5882,6.5455,1.9572,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_harm,1.0000,1.0000,0.0000,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_hedged,3.0000,3.1818,0.1818,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_interiority,1.1176,1.4545,0.3369,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_makes_better,2.7059,4.2727,1.5668,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_makes_worse,1.4706,1.0000,-0.4706,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_mundanity,4.4706,4.6364,0.1658,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_superego,1.2941,2.3636,1.0695,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6_wide_vocalisation,1.8824,3.5455,1.6631,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_aggression,1.0588,1.0000,-0.0588,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_deliberation,1.4118,1.7273,0.3155,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_directedness,2.1176,2.6364,0.5187,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_fit,4.5882,6.5455,1.9572,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_harm,1.0000,1.0000,0.0000,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_hedged,3.0000,3.1818,0.1818,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_interiority,1.1176,1.4545,0.3369,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_makes_better,2.7059,4.2727,1.5668,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_makes_worse,1.4706,1.0000,-0.4706,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_mundanity,4.4706,4.6364,0.1658,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_superego,1.2941,2.3636,1.0695,1.000
"She complained to the hospital about the way her mother had been treated, and they",Response to a complaint: remedial action vs. communicative reply,v6full_vocalisation,1.8824,3.5455,1.6631,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_abstraction,2.2727,3.0000,0.7273,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_agency,3.0909,2.8889,-0.2020,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_arousal,1.7273,1.5556,-0.1717,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_assertiveness,2.0909,2.1111,0.0202,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_deference,4.0000,4.0000,0.0000,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_delay,1.8182,2.1111,0.2929,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_procedural,4.0000,4.0000,0.0000,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_specificity,2.7273,2.3333,-0.3939,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_target,2.0909,1.0000,-1.0909,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_termination,2.2727,1.6667,-0.6061,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,slot_institutional_en_v3_vocalisation,2.0909,1.1111,-0.9798,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_aggression,1.0000,1.0000,0.0000,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_deliberation,1.0909,1.7778,0.6869,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_directedness,1.8182,1.0000,-0.8182,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_fit,5.5455,5.6667,0.1212,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_harm,1.0000,1.0000,0.0000,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_hedged,1.4545,1.5556,0.1010,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_interiority,1.4545,2.2222,0.7677,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_makes_better,2.6364,2.6667,0.0303,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_makes_worse,1.0000,1.1111,0.1111,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_mundanity,6.1818,5.6667,-0.5152,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_superego,1.0000,1.2222,0.2222,1.000
She loaded the groceries on the kitchen table and,Narrative continuation vs. subsequent action,v6_vocalisation,2.0909,1.5556,-0.5354,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_abstraction,2.0000,2.2500,0.2500,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_agency,5.0000,4.3333,-0.6667,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_arousal,5.6667,4.6667,-1.0000,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_assertiveness,4.6667,4.1667,-0.5000,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_collective,1.0000,1.0000,0.0000,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_deference,1.5556,2.2500,0.6944,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_delay,2.0000,1.9167,-0.0833,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_procedural,1.4444,2.2500,0.8056,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_specificity,3.8889,3.1667,-0.7222,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_target,2.4444,2.0833,-0.3611,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_termination,4.0000,2.5833,-1.4167,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,slot_institutional_en_v3_vocalisation,2.3333,1.0000,-1.3333,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_aggression,2.1111,1.6667,-0.4444,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_deliberation,1.1111,2.2500,1.1389,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_directedness,3.6667,1.9167,-1.7500,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_fit,5.3333,5.7500,0.4167,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_harm,2.3333,1.1667,-1.1667,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_hedged,2.2222,1.3333,-0.8889,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_interiority,1.3333,1.8333,0.5000,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_makes_better,1.3333,1.0833,-0.2500,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_makes_worse,4.1111,3.0000,-1.1111,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_mundanity,2.1111,2.0000,-0.1111,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_superego,1.1111,1.3333,0.2222,1.000
She loaded the handgun on the kitchen table and,Continuation of the same scene versus a new event,v6_vocalisation,2.3333,1.0000,-1.3333,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_abstraction,1.0000,1.2000,0.2000,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_agency,5.0000,4.6000,-0.4000,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_arousal,4.1111,1.8000,-2.3111,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_assertiveness,4.5556,3.0000,-1.5556,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_collective,1.0000,1.2000,0.2000,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_deference,2.3333,4.0000,1.6667,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_delay,1.0000,1.0000,0.0000,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_mediation,1.0000,1.0000,0.0000,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_procedural,2.3333,4.0000,1.6667,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_specificity,5.3333,5.8000,0.4667,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_target,5.6667,7.0000,1.3333,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_termination,1.5556,1.0000,-0.5556,1.000
She picked up the bat and tossed it to his,Body location versus person role,slot_institutional_en_v3_vocalisation,1.0000,1.0000,0.0000,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_aggression,1.7778,1.0000,-0.7778,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_deliberation,1.2222,1.0000,-0.2222,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_directedness,4.7778,5.2000,0.4222,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_fit,6.1111,7.0000,0.8889,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_harm,2.2222,1.0000,-1.2222,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_hedged,1.0000,1.0000,0.0000,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_interiority,1.0000,1.0000,0.0000,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_makes_better,2.3333,3.4000,1.0667,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_makes_worse,2.5556,1.0000,-1.5556,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_mundanity,4.3333,6.0000,1.6667,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_superego,1.0000,1.0000,0.0000,1.000
She picked up the bat and tossed it to his,Body location versus person role,v6_vocalisation,1.0000,1.0000,0.0000,1.000
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_aggression,1.0000,1.0000,0.0000,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_deliberation,1.0714,1.5000,0.4286,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_directedness,1.8571,1.0000,-0.8571,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_fit,4.7857,6.0000,1.2143,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_harm,1.7143,2.0000,0.2857,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_hedged,1.4286,1.0000,-0.4286,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_interiority,1.0714,1.0000,-0.0714,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_makes_better,1.0000,2.5000,1.5000,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_makes_worse,4.8571,3.5000,-1.3571,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_mundanity,2.3571,3.0000,0.6429,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_superego,1.0000,1.0000,0.0000,0.889
She punctured the brake fluid line on the motorcycle and,Naming the next event versus naming a causal or temporal link,v6_vocalisation,1.8571,1.0000,-0.8571,0.889
She put his mouth to her,Body part as the endpoint of a directed placement,sexual_v2_body_distance,2.6667,3.5000,0.8333,1.000
She put his mouth to her,Body part as the endpoint of a directed placement,sexual_v2_charge,4.8889,4.0000,-0.8889,1.000
