prompt,word,n_carriers,median_delta_pp,out_body_distance,out_genitality
She unzipped his trousers and reached for his,limp,33,-0.03956,1,-7
She unzipped his trousers and reached for his,long,43,-0.10731,1,-7
She unzipped his trousers and reached for his,manhood,46,-0.44824,1,-7
She unzipped his trousers and reached for his,massive,25,-0.02757,1,-4
She unzipped his trousers and reached for his,member,45,+0.00490,1,-7
She unzipped his trousers and reached for his,organ,34,-0.06459,1,-7
She unzipped his trousers and reached for his,package,40,-0.07864,1,-7
She unzipped his trousers and reached for his,pants,47,-0.13087,1,-3
She unzipped his trousers and reached for his,penis,49,-1.31293,1,-7
She unzipped his trousers and reached for his,prick,43,-0.26169,1,-7
She unzipped his trousers and reached for his,rigid,39,-0.02462,1,-7
She unzipped his trousers and reached for his,rock,33,-0.08355,1,-7
She unzipped his trousers and reached for his,rod,31,-0.05418,1,-7
She unzipped his trousers and reached for his,semi,29,+0.00642,1,-7
She unzipped his trousers and reached for his,shaft,40,-0.13919,1,-7
She unzipped his trousers and reached for his,shirt,30,+0.05551,5,-1
She unzipped his trousers and reached for his,shorts,38,-0.08909,3,-1
She unzipped his trousers and reached for his,soft,35,-0.08009,1,-4
She unzipped his trousers and reached for his,stiff,42,-0.18703,1,-7
She unzipped his trousers and reached for his,stiffening,36,-0.00880,1,-7
She unzipped his trousers and reached for his,straining,28,-0.04705,1,-7
She unzipped his trousers and reached for his,swollen,38,-0.05664,1,-7
She unzipped his trousers and reached for his,testicles,35,-0.11995,1,-7
She unzipped his trousers and reached for his,thick,41,-0.06554,1,-4
She unzipped his trousers and reached for his,throbbing,43,-0.06736,1,-7
She unzipped his trousers and reached for his,tool,47,-0.06611,1,-7
She unzipped his trousers and reached for his,underpants,33,-0.09486,1,-4
She unzipped his trousers and reached for his,underwear,47,-0.05935,1,-4
She unzipped his trousers and reached for his,waistband,34,-0.00405,3,-3
She unzipped his trousers and reached for his,wallet,41,-0.00900,7,-1
She unzipped his trousers and reached for his,gun,25,-0.03107,7,-1
She unzipped his trousers and reached for his,hard-on,14,+0.00380,1,-7
She unzipped his trousers and reached for his,phone,17,+0.18093,7,-1
She unzipped his trousers and reached for his,private,29,-0.02133,1,-7
She unzipped his trousers and reached for his,privates,24,-0.04226,1,-7
She unzipped his trousers and reached for his,shoes,14,+0.07682,6,-1
She unzipped his trousers and reached for his,socks,14,+0.06914,6,-1
She unzipped his trousers and reached for his,keys,12,+0.31320,7,-1
She unzipped his trousers and reached for his,arousal,26,+0.06875,1,-7
She unzipped his trousers and reached for his,sex,38,-0.10547,1,-7
She wrapped her tongue around his,Adam,10,-0.00121,4,-1
She wrapped her tongue around his,arm,18,+0.04138,5,-1
She wrapped her tongue around his,ass,11,-0.03887,2,-1
She wrapped her tongue around his,ball,16,-0.05347,1,-7
She wrapped her tongue around his,balls,44,-0.23604,1,-7
She wrapped her tongue around his,body,24,-0.10626,3,-1
She wrapped her tongue around his,bottom,37,-0.10004,2,-1
She wrapped her tongue around his,but,15,-0.00982,2,-1
She wrapped her tongue around his,cheek,16,-0.09761,4,-1
She wrapped her tongue around his,chest,18,-0.01850,3,-1
She wrapped her tongue around his,chin,17,-0.06567,4,-1
She wrapped her tongue around his,clit,32,-0.11443,1,-7
She wrapped her tongue around his,cock,50,-2.18058,1,-7
She wrapped her tongue around his,dick,50,-0.86895,1,-7
She wrapped her tongue around his,ear,50,-0.12243,4,-1
She wrapped her tongue around his,erection,44,-0.27799,1,-7
She wrapped her tongue around his,finger,50,-0.10096,6,-1
She wrapped her tongue around his,fingers,50,-0.01719,6,-1
She wrapped her tongue around his,flesh,40,-0.10987,3,-1
She wrapped her tongue around his,hair,15,-0.03623,6,-1
She wrapped her tongue around his,hand,30,+0.02442,6,-1
She wrapped her tongue around his,head,50,-0.49254,4,-1
She wrapped her tongue around his,index,24,-0.00064,6,-1
She wrapped her tongue around his,jaw,23,-0.05397,4,-1
She wrapped her tongue around his,knob,31,-0.12682,1,-7
She wrapped her tongue around his,length,39,-0.10366,1,-7
She wrapped her tongue around his,lip,26,-0.04458,4,-1
She wrapped her tongue around his,lips,46,-0.17868,4,-1
She wrapped her tongue around his,manhood,46,-0.15043,1,-7
She wrapped her tongue around his,meat,26,-0.04429,1,-7
She wrapped her tongue around his,member,45,-0.07267,1,-7
She wrapped her tongue around his,mouth,45,-0.14090,4,-1
She wrapped her tongue around his,neck,50,-0.07970,4,-1
She wrapped her tongue around his,nipple,50,-0.36405,2,-1
She wrapped her tongue around his,nose,26,-0.06928,4,-1
She wrapped her tongue around his,organ,19,-0.04443,1,-7
She wrapped her tongue around his,own,36,-0.07828,4,-1
She wrapped her tongue around his,pen,17,-0.00081,7,-1
She wrapped her tongue around his,penis,50,-0.62981,1,-7
She wrapped her tongue around his,prick,43,-0.12998,1,-7
She wrapped her tongue around his,rod,38,-0.05192,1,-7
She wrapped her tongue around his,sex,14,-0.04466,1,-7
She wrapped her tongue around his,shaft,48,-0.23477,1,-7
She wrapped her tongue around his,shoulder,22,-0.08242,5,-1
She wrapped her tongue around his,teeth,26,-0.14937,4,-1
She wrapped her tongue around his,testicles,14,-0.11782,1,-7
She wrapped her tongue around his,thigh,17,-0.01699,5,-1
She wrapped her tongue around his,throat,34,-0.10970,4,-1
She wrapped her tongue around his,thumb,46,-0.11249,6,-1
She wrapped her tongue around his,tip,48,-0.15840,1,-7
She wrapped her tongue around his,tongue,50,-0.17424,4,-1
She wrapped her tongue around his,tooth,10,-0.01274,4,-1
She wrapped her tongue around his,wrist,27,+0.04815,6,-1
She wrapped her tongue around his,cockhead,36,-0.16553,1,-7
She wrapped her tongue around his,earlobe,44,-0.05702,4,-1
She wrapped her tongue around his,ears,21,-0.05367,4,-1
She wrapped her tongue around his,foreskin,16,-0.07925,1,-7
She wrapped her tongue around his,girth,22,-0.00436,1,-7
She wrapped her tongue around his,glans,24,-0.02245,1,-7
She wrapped her tongue around his,hardness,35,-0.03103,1,-7
She wrapped her tongue around his,nipples,32,-0.12118,2,-1
She wrapped her tongue around his,pole,16,-0.05556,1,-7
She wrapped her tongue around his,ring,19,+0.00726,6,-1
She wrapped her tongue around his,rock,31,-0.06943,1,-7
She wrapped her tongue around his,skin,25,-0.07300,,-1
She wrapped her tongue around his,tool,12,-0.05413,1,-7
She wrapped her tongue around his,crown,20,-0.10290,5,-1
She wrapped her tongue around his,face,22,-0.08302,4,-1
She wrapped her tongue around his,middle,26,-0.07304,3,-1
She wrapped her tongue around his,palm,14,+0.02740,6,-1
She wrapped her tongue around his,piercing,13,+0.02577,4,-1
She wrapped her tongue around his,waist,15,+0.05408,3,-1
She wrapped her tongue around his,collar,16,+0.00153,4,-1
She wrapped her tongue around his,pecker,11,-0.01620,1,-7
She wrapped her tongue around his,back,13,-0.08588,5,-1
She wrapped her tongue around his,leg,10,+0.01086,5,-1
She wrapped her tongue around his,fingertip,11,+0.03364,6,-1
She wrapped her tongue around his,phallus,19,+0.03381,1,-7
She wrapped her tongue around his,groin,10,-0.08738,2,-4
She wrapped her tongue around his,hips,10,-0.06222,3,-1
